,GSM748209.CEL,GSM748213.CEL,GSM748215.CEL,GSM748218.CEL,GSM748219.CEL,GSM748244.CEL,GSM748245.CEL,GSM748246.CEL,GSM748247.CEL,GSM748248.CEL,GSM748249.CEL,GSM748250.CEL,GSM748251.CEL,GSM748252.CEL,GSM748253.CEL,GSM748254.CEL,GSM748255.CEL,GSM748256.CEL,GSM748257.CEL,GSM748258.CEL,GSM748265.CEL
1555867_at,3.923469596,9.247647896,10.18396176,6.628724654,3.907739234,9.395569854,8.909943295,9.766252875,9.25031895,8.964035019,9.689698669,6.830963969,9.03103687,8.593646464,10.29358452,9.497685616,9.247378481,8.255896393,7.170563596,11.10310543,7.529353481
1560850_at,2.470854571,2.411689889,2.246830955,2.200667495,2.141391454,2.32214429,2.34221486,2.121185684,2.150458716,2.224399548,2.497608611,2.492129577,2.191167969,3.307726671,2.206354676,2.028970766,2.40480151,1.985226312,2.159032227,2.188488747,2.836998917
203913_s_at,4.46339162,4.554126501,1.893730996,2.608362558,2.173139834,2.647544887,2.352488497,2.219603584,3.244783954,2.563580383,4.55259329,4.426442051,2.252010792,3.513177071,2.034917162,3.203492112,2.471229614,3.386154508,2.219497641,2.034049339,4.284278448
206018_at,3.481326892,11.79966332,11.39259623,3.006136032,3.63858634,11.56959791,11.07473561,4.713888415,11.23960671,9.459370053,8.759410842,10.32749124,10.91628705,8.068552352,6.437820739,11.235972,11.19770237,8.894652259,9.591517044,11.88957291,3.65264325
206104_at,8.683200854,9.250335324,11.30084436,2.632225854,2.036357864,7.604986121,11.4158984,9.927789541,10.7433258,9.625312234,8.259494359,10.44018242,11.83552256,10.88488371,11.53853152,11.95218934,10.34704225,10.22653789,2.589520224,11.79837055,5.162640978
206502_s_at,2.924098379,11.98890883,12.58348678,6.850208427,8.367075993,11.1436672,11.88686213,11.46362559,10.94531673,11.13333698,11.11894757,10.62937825,12.38074589,11.46261224,11.51749148,11.94171977,10.40738672,10.36216246,10.99557148,11.34677221,7.328959676
206651_s_at,2.657889654,2.254070308,2.155756953,2.419308809,2.547802317,2.310476483,2.464797557,2.45681286,2.680795054,2.582988099,2.547802317,2.657889654,2.528833734,3.551427188,6.389361844,3.743476778,2.751806622,2.480486607,2.464802105,2.549575379,3.518193982
206884_s_at,2.895912327,2.374482332,2.26260726,2.82701308,2.424480306,2.542626003,2.645028431,2.660650912,2.61888421,2.46845989,3.528035532,4.105474945,2.357279567,3.297613727,2.505836261,2.724115153,2.44470092,2.399661308,2.5120151,2.277529233,3.7779612
209988_s_at,3.205975337,3.647264551,13.09368662,2.378075836,2.705620975,12.5473053,12.60464809,12.75852118,12.89006806,12.61108981,13.34128949,12.89493376,12.01270624,13.14583133,12.43983349,12.73556085,13.08172055,11.88842293,11.98913008,12.49689831,3.261542357
211734_s_at,6.016840228,2.273552209,2.410254563,2.545604216,2.237349005,2.738184702,2.530602191,2.152099536,2.427486833,2.300497806,2.391583564,2.570590454,2.281852031,3.144454104,2.513434813,2.655878057,2.29790443,2.464923075,2.369544783,3.04117075,2.981838094
214023_x_at,11.41518471,10.55362257,12.09474303,10.25047455,10.81840377,10.57326455,10.25175904,10.40140704,10.14703685,10.68978385,11.38227537,10.69621201,11.28763551,10.97988141,11.54216357,11.6890629,10.81537087,10.20939608,9.982372588,11.04334764,9.903719708
223642_at,2.26218108,10.31824843,11.73584309,3.523051736,6.977752918,10.41359912,10.51291092,11.2516997,10.33821109,7.667338794,10.13054961,7.892082925,10.97959027,7.710965715,11.59080568,11.8234402,10.79156713,11.35553943,2.964324853,10.98253331,4.403973979
223678_s_at,10.50632094,2.262726053,2.458539785,5.050943678,2.860032397,2.730298067,2.64172343,2.422790349,2.407463438,3.675014557,8.188299035,8.165041584,2.359728069,8.250264926,2.465642988,2.585019253,2.815832232,2.571715717,5.516877666,2.383529922,7.814501727
226228_at,9.032448254,2.491674446,2.099946593,7.313397074,2.246175645,2.174272727,6.368064123,2.173566526,2.284812683,5.474780859,8.526007727,8.981954769,2.312952996,8.043965087,4.704014627,2.292657127,2.740109848,2.455585967,3.910184632,2.767308547,7.873400623
226980_at,6.433536599,8.14290994,9.047948535,6.211694571,8.046579789,7.686617764,8.340322065,8.980826447,8.195006508,5.603835673,8.163753876,7.694598853,8.745511203,5.532126002,8.75079957,9.152123693,7.241576702,7.41420712,6.365487184,8.4426331,6.506526215
232056_at,2.54599764,2.194041486,2.431232397,2.548844118,2.271996017,2.12517663,2.249247875,2.020369987,2.187238276,2.297099765,3.348656319,2.900115773,2.05500735,2.381764218,2.172101307,2.460693627,2.202051996,2.307166622,2.189320138,2.209061745,2.628936297
232578_at,2.920676432,2.499199137,2.495082768,2.806532497,2.495065799,3.009893743,2.364346785,2.270263684,2.665826907,2.498372325,4.591124812,5.373389391,2.411014018,5.21309886,2.413231376,2.477435299,5.309201334,2.423339373,2.533471499,2.323431207,4.462263676
238605_at,5.427399028,3.872541236,9.834244575,4.659343444,4.502697058,9.103351137,5.481006351,9.855005101,8.557859422,9.659093113,7.989934706,8.50521639,9.110534116,10.42962449,10.03487944,8.593506493,8.183715082,8.146823823,8.686110101,8.835637131,6.908236229
242009_at,2.487951375,2.645748239,2.344724902,2.632225854,2.632225854,2.694444073,2.079553049,2.522138517,2.765145139,2.571744855,2.50986516,2.472646507,2.381672795,2.61841374,2.571744855,2.291477572,2.8094481,2.45681286,2.672321883,2.584935229,4.262369076
242601_at,2.052844726,8.586882535,8.107187242,8.911303014,11.11356713,10.65816727,10.05422972,9.539339606,9.99677158,8.749175301,8.750496356,7.272426542,2.858562526,5.756861023,9.349160712,9.418621984,8.712993912,4.587864757,6.51110583,9.288029197,8.974093125
