#node1,node2,combined_score
ABCA8,ADH1B,0.514
ADAM12,COL10A1,0.578
ADAM12,MMP1,0.573
ADAM12,COL11A1,0.516
ADAM12,SPP1,0.436
ADAM12,MMP3,0.405
ADH1B,SLC6A4,0.58
ADH1B,ABCA8,0.514
ADH1B,AKR1B10,0.44
ADH1B,FABP4,0.418
AGER,CD36,0.734
AGER,CLDN18,0.509
AGER,FABP4,0.466
AGER,EDNRB,0.449
AGER,HHIP,0.404
AGTR1,ADRB1,0.544
AGTR1,RXFP1,0.543
AGTR1,EDNRB,0.542
AGTR1,GNG4,0.541
AGTR1,SSTR1,0.523
AGTR1,SLC6A8,0.442
AGTR1,OLR1,0.411
AKR1B10,ADH1B,0.44
AKR1B10,CALCRL,0.422
ANGPTL1,EDNRB,0.474
ANGPTL1,OGN,0.471
ANLN,KIF23,0.989
ANLN,CEP55,0.93
ANLN,TPX2,0.923
ANLN,DLGAP5,0.914
ANLN,ASPM,0.9
ANLN,NUF2,0.897
ANLN,HMMR,0.88
ANLN,TOP2A,0.861
ANLN,CCNB1,0.86
ANLN,DEPDC1,0.847
ANLN,CKAP2L,0.837
ANLN,KIF14,0.828
ANLN,PBK,0.811
ANLN,NEK2,0.787
ANLN,KIF4A,0.782
ANLN,EXO1,0.754
ANLN,DEPDC1B,0.74
ANLN,TTK,0.704
ANLN,MAD2L1,0.682
ANLN,NCAPG,0.681
ANLN,HJURP,0.677
ANLN,CDCA3,0.649
ANLN,CDKN3,0.641
ANLN,CHEK1,0.633
ANLN,PIMREG,0.585
ANLN,CDC6,0.579
ANLN,ATAD2,0.548
ANLN,UHRF1,0.541
ANLN,FOXM1,0.536
ANLN,HELLS,0.526
ANLN,E2F8,0.522
ANLN,IGF2BP3,0.496
ANLN,SPC25,0.487
ANLN,MCM10,0.482
ANLN,E2F7,0.472
ANLN,CDCA7,0.454
ANLN,WDHD1,0.451
ANLN,FAM83B,0.438
ANLN,DST,0.432
ANLN,GINS1,0.405
ASPM,TOP2A,0.996
ASPM,DLGAP5,0.994
ASPM,KIF23,0.987
ASPM,NUF2,0.98
ASPM,NCAPG,0.972
ASPM,KIF14,0.963
ASPM,TTK,0.957
ASPM,CCNB1,0.952
ASPM,KIF4A,0.952
ASPM,PBK,0.951
ASPM,CEP55,0.95
ASPM,TPX2,0.949
ASPM,HJURP,0.931
ASPM,HMMR,0.928
ASPM,NEK2,0.916
ASPM,ANLN,0.9
ASPM,CKAP2L,0.883
ASPM,CDCA3,0.864
ASPM,DEPDC1,0.861
ASPM,CDKN3,0.854
ASPM,SPC25,0.852
ASPM,FOXM1,0.848
ASPM,EXO1,0.848
ASPM,MAD2L1,0.812
ASPM,E2F7,0.724
ASPM,MCM10,0.723
ASPM,E2F8,0.664
ASPM,DEPDC1B,0.651
ASPM,GINS1,0.646
ASPM,CHEK1,0.645
ASPM,PIMREG,0.63
ASPM,CDC6,0.623
ASPM,ATAD2,0.581
ASPM,UHRF1,0.569
ASPM,WDHD1,0.548
ASPM,HELLS,0.494
ASPM,CDCA7,0.477
ASPM,KRT6A,0.45
BMP5,GREM1,0.784
BMP5,PITX1,0.504
BMP5,GDF10,0.483
BMP5,TFAP2A,0.421
CA4,CYP24A1,0.77
CALCRL,EMCN,0.594
CALCRL,RXFP1,0.464
CALCRL,AKR1B10,0.422
CCNB1,TOP2A,0.989
CCNB1,FOXM1,0.988
CCNB1,MAD2L1,0.988
CCNB1,NUF2,0.967
CCNB1,DLGAP5,0.965
CCNB1,NCAPG,0.962
CCNB1,PBK,0.962
CCNB1,ASPM,0.952
CCNB1,TPX2,0.949
CCNB1,HMMR,0.942
CCNB1,CDKN3,0.941
CCNB1,CEP55,0.94
CCNB1,TTK,0.936
CCNB1,CDCA3,0.936
CCNB1,CHEK1,0.935
CCNB1,CDC6,0.931
CCNB1,KIF4A,0.931
CCNB1,KIF23,0.922
CCNB1,NEK2,0.91
CCNB1,SPC25,0.903
CCNB1,DEPDC1,0.871
CCNB1,HJURP,0.871
CCNB1,KIF14,0.861
CCNB1,ANLN,0.86
CCNB1,DEPDC1B,0.845
CCNB1,EXO1,0.773
CCNB1,GINS1,0.711
CCNB1,MCM10,0.703
CCNB1,PIMREG,0.684
CCNB1,E2F8,0.653
CCNB1,E2F7,0.569
CCNB1,UHRF1,0.567
CCNB1,CDCA7,0.54
CCNB1,HELLS,0.532
CCNB1,CKAP2L,0.519
CCNB1,WDHD1,0.457
CCNB1,ATAD2,0.449
CD300LG,EMCN,0.716
CD300LG,BTNL9,0.608
CEP55,DLGAP5,0.999
CEP55,KIF23,0.975
CEP55,PBK,0.957
CEP55,KIF4A,0.951
CEP55,ASPM,0.95
CEP55,NUF2,0.947
CEP55,TTK,0.945
CEP55,TPX2,0.944
CEP55,KIF14,0.943
CEP55,CCNB1,0.94
CEP55,ANLN,0.93
CEP55,TOP2A,0.928
CEP55,HMMR,0.926
CEP55,HJURP,0.921
CEP55,NEK2,0.912
CEP55,NCAPG,0.899
CEP55,CKAP2L,0.886
CEP55,DEPDC1,0.877
CEP55,CDCA3,0.876
CEP55,CHEK1,0.871
CEP55,FOXM1,0.86
CEP55,DEPDC1B,0.834
CEP55,CDKN3,0.822
CEP55,SPC25,0.811
CEP55,MCM10,0.795
CEP55,UHRF1,0.76
CEP55,MAD2L1,0.73
CEP55,ATAD2,0.715
CEP55,PIMREG,0.685
CEP55,E2F8,0.684
CEP55,GINS1,0.677
CEP55,E2F7,0.64
CEP55,EXO1,0.639
CEP55,CDC6,0.63
CEP55,HELLS,0.611
CHEK1,EXO1,0.973
CHEK1,MCM10,0.969
CHEK1,CDC6,0.941
CHEK1,CCNB1,0.935
CHEK1,MAD2L1,0.927
CHEK1,TOP2A,0.889
CHEK1,CEP55,0.871
CHEK1,SPC25,0.778
CHEK1,NCAPG,0.775
CHEK1,PBK,0.735
CHEK1,WDHD1,0.712
CHEK1,CDKN3,0.704
CHEK1,NEK2,0.704
CHEK1,NUF2,0.702
CHEK1,HELLS,0.693
CHEK1,KIF23,0.687
CHEK1,FOXM1,0.683
CHEK1,CDCA3,0.671
CHEK1,HJURP,0.667
CHEK1,TPX2,0.663
CHEK1,DLGAP5,0.654
CHEK1,ASPM,0.645
CHEK1,TTK,0.639
CHEK1,ANLN,0.633
CHEK1,KIF4A,0.631
CHEK1,HMMR,0.625
CHEK1,GINS1,0.599
CHEK1,ATAD2,0.562
CHEK1,E2F8,0.545
CHEK1,KIF14,0.539
CHEK1,UHRF1,0.522
CHEK1,E2F7,0.505
CHEK1,DEPDC1B,0.471
CHEK1,DEPDC1,0.463
CHEK1,CKAP2L,0.435
CHEK1,CDCA7,0.421
CLDN18,GKN2,0.514
CLDN18,AGER,0.509
COCH,STXBP6,0.826
COCH,GJB2,0.457
COL10A1,COL11A1,0.877
COL10A1,PTHLH,0.623
COL10A1,MMP1,0.618
COL10A1,ADAM12,0.578
COL10A1,SPP1,0.549
COL10A1,MMP3,0.542
COL10A1,GREM1,0.403
COL11A1,COL10A1,0.877
COL11A1,MMP1,0.599
COL11A1,SPP1,0.549
COL11A1,ADAM12,0.516
COL11A1,GREM1,0.509
COL11A1,HHIP,0.459
COL11A1,MMP3,0.443
CXCL13,ACKR4,0.992
CXCL13,PPBP,0.853
CXCL13,MMP1,0.637
CXCL13,MMP3,0.627
CXCL13,MMP12,0.46
DEPDC1,TTK,0.931
DEPDC1,HMMR,0.907
DEPDC1,TPX2,0.903
DEPDC1,NUF2,0.898
DEPDC1,DLGAP5,0.881
DEPDC1,CEP55,0.877
DEPDC1,KIF14,0.873
DEPDC1,CCNB1,0.871
DEPDC1,KIF23,0.865
DEPDC1,ASPM,0.861
DEPDC1,PBK,0.849
DEPDC1,ANLN,0.847
DEPDC1,NEK2,0.847
DEPDC1,FOXM1,0.845
DEPDC1,HJURP,0.832
DEPDC1,NCAPG,0.824
DEPDC1,DEPDC1B,0.798
DEPDC1,KIF4A,0.797
